Area,Harvest Date,Harvest Area,yield (kg / ha),Season,Intensity,Latitude,Longitude
ES130,15-07-2016,417.0,2600,SA,D,43.42863,-3.89545
ES212,15-07-2016,110.0,2600,SA,D,43.20135,-2.13431
ES213,15-07-2016,69.0,1958,SA,D,43.30779,-2.99522
ES220,15-07-2016,14861.0,10607,SA,D,42.4273,-1.73358
ES230,15-07-2016,487.0,9487,SA,D,42.27149,-1.97541
ES241,15-07-2016,60154.0,13407,SA,D,41.86705,-0.05219
ES242,15-07-2016,3299.0,11000,SA,D,40.73827,-1.00363
ES243,15-07-2016,19355.0,11720,SA,D,41.86077,-1.07946
ES300,15-07-2016,5772.0,12515,SA,D,40.19028,-3.57747
ES411,15-07-2016,1276.0,12450,SA,D,40.97913,-4.85813
ES412,15-07-2016,980.0,12000,SA,D,41.84807,-3.87632
ES413,15-07-2016,57860.0,9700,SA,D,42.4113,-5.68645
ES414,15-07-2016,2185.0,10018,SA,D,42.41262,-4.67343
ES415,15-07-2016,16345.0,12000,SA,D,40.99443,-5.5754
ES416,15-07-2016,105.0,10000,SA,D,41.2211,-4.41308
ES417,15-07-2016,69.0,12000,SA,D,41.58075,-2.86887
ES418,15-07-2016,6933.0,9500,SA,D,41.65781,-5.10557
ES419,15-07-2016,16300.0,12500,SA,D,41.82753,-5.74309
ES421,15-07-2016,8800.0,13500,SA,D,39.0489,-1.99314
ES422,15-07-2016,4761.0,11374,SA,D,39.26904,-4.16304
ES423,15-07-2016,759.0,12012,SA,D,39.6437,-2.38957
ES424,15-07-2016,2381.0,11992,SA,D,40.92142,-3.0692
ES425,15-07-2016,6632.0,10076,SA,D,39.97782,-4.49185
ES431,15-07-2016,29781.0,11452,SA,D,39.02606,-6.19655
ES432,15-07-2016,19547.0,12892,SA,D,39.80093,-6.27123
ES511,15-07-2016,186.0,5032,SA,D,41.90971,2.24778
ES512,15-07-2016,7499.0,11122,SA,D,42.16169,2.87706
ES513,15-07-2016,30719.0,10263,SA,D,41.74448,0.71416
ES514,15-07-2016,109.0,8817,SA,D,40.86232,0.57098
ES521,15-07-2016,310.0,9994,SA,D,38.2,-0.88411
ES522,15-07-2016,124.0,3961,SA,D,40.36508,0.07989
ES523,15-07-2016,144.0,12000,SA,D,39.3862,-0.58762
ES611,15-07-2016,6.0,3166,SA,D,37.45555,-2.25556
ES612,15-07-2016,2217.0,12563,SA,D,36.59786,-5.94015
ES613,15-07-2016,4120.0,12489,SA,D,37.81599,-4.99439
ES614,15-07-2016,2297.0,10842,SA,D,37.24434,-3.75542
ES615,15-07-2016,171.0,10000,SA,D,37.75169,-7.11385
ES616,15-07-2016,1000.0,11972,SA,D,38.03548,-3.86859
ES617,15-07-2016,282.0,6398,SA,D,37.10579,-4.67189
ES618,15-07-2016,10764.0,13127,SA,D,37.50512,-5.81387
ES620,15-07-2016,140.0,9100,SA,D,38.1893,-1.43707
ES704,15-07-2016,143.135,2559,SA,D,,
ES705,15-07-2016,183.208,2559,SA,D,28.11818,-15.55454
ES706,15-07-2016,3.119,2285,SA,D,,
ES707,15-07-2016,18.641,2285,SA,D,28.7,-18.0
ES708,15-07-2016,104.658,2559,SA,D,,
ES709,15-07-2016,310.492,2285,SA,D,28.47143,-16.54286
ES111,15-07-2015,8749.0,7740,SA,D,43.08895,-8.59496
ES112,15-07-2015,2215.0,7330,SA,D,43.11323,-7.572
ES113,15-07-2015,2009.0,7730,SA,D,42.19387,-7.78684
ES114,15-07-2015,6007.0,8240,SA,D,42.72535,-8.29535
ES120,15-07-2015,400.0,2100,SA,D,43.55671,-6.47065
ES130,15-07-2015,133.0,2600,SA,D,43.42863,-3.89545
ES211,15-07-2015,9.0,4111,SA,D,42.9655,-2.75258
ES212,15-07-2015,197.0,4200,SA,D,43.20135,-2.13431
ES213,15-07-2015,113.0,4114,SA,D,43.30779,-2.99522
